Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,GovBudget,Debt/GDP,Current Account,Population
Angola                                            ,107,0.20,18.00,16.58,29.60,2.70,56.10,11.40,33.09
Guatemala                                         ,95,,5.00,4.98,3.00,-1.70,27.45,1.80,17.36
Bulgaria                                          ,89,0.40,3.64,5.80,5.50,-2.90,19.40,-1.40,6.44
Luxembourg                                        ,82,-0.11,4.50,3.00,5.60,-0.30,24.70,7.70,0.65
Uzbekistan                                        ,80,,14.00,8.80,6.00,-4.00,36.40,1.40,36.02
Azerbaijan                                        ,79,,8.50,10.20,5.50,-1.00,11.70,30.50,10.06
Panama                                            ,77,,2.14,2.08,8.80,-4.06,63.66,-4.10,4.40
Tanzania                                          ,76,1.50,5.00,3.20,8.90,-4.00,38.30,-7.10,61.74
Sri Lanka                                         ,74,1.40,9.00,3.40,5.20,-10.20,113.80,-1.90,22.18
Belarus                                           ,73,,9.50,3.70,3.60,-0.30,32.80,4.20,9.26
Ghana                                             ,73,0.70,30.00,35.20,3.90,-11.80,88.80,-2.10,33.48
Croatia                                           ,71,0.30,4.50,4.70,6.20,0.10,68.80,-2.80,3.85
Uruguay                                           ,71,0.60,9.25,4.96,8.60,-3.00,66.90,-2.60,3.55
Lithuania                                         ,70,-0.02,4.50,2.00,8.20,-0.70,38.10,-5.50,2.81
Ivory Coast                                       ,70,,5.25,3.70,2.60,-6.70,56.00,-4.20,30.21
Costa Rica                                        ,68,1.90,6.25,-1.65,8.10,-1.80,82.36,-4.30,5.16
Syria                                             ,65,,,79.10,9.60,-11.40,30.01,-0.90,22.13
Serbia                                            ,64,1.30,6.50,8.50,9.00,-3.30,55.10,-6.80,6.80
Slovenia                                          ,62,-0.20,4.50,4.90,4.70,-3.00,72.30,-1.00,2.11
Myanmar                                           ,59,,7.00,28.58,2.20,-5.20,62.50,-1.80,54.18
Congo                                             ,58,,25.00,37.60,46.10,-2.80,14.60,-6.40,95.01
Sudan                                             ,52,,28.30,63.30,18.70,-1.50,186.20,-3.40,46.87
Tunisia                                           ,47,0.10,8.00,8.30,15.60,-7.70,79.40,-8.60,11.85
Jordan                                            ,47,,7.50,1.36,22.30,-4.60,89.40,-6.70,11.30
Libya                                             ,46,,3.00,2.10,20.70,3.10,83.00,23.30,6.81
Turkmenistan                                      ,46,,,5.90,5.00,1.00,8.00,5.70,6.43
Uganda                                            ,46,5.20,9.50,2.60,4.30,-5.30,48.60,-8.60,47.25
Cameroon                                          ,44,2.70,5.00,6.90,4.00,-1.90,46.40,-1.60,27.90
Bahrain                                           ,44,4.74,6.25,0.00,5.50,-5.60,119.50,15.40,1.47
Bolivia                                           ,43,14.04,3.82,2.08,2.80,-7.30,82.60,-1.50,12.01
Paraguay                                          ,42,-5.58,7.25,3.20,5.80,-4.00,32.70,-5.20,7.45
