symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603729,龙韵股份,24.66,2.24,9.99,85.83,11641440,281924664.0,12.47,-14.008,,2301715080.0
SH601728,中国电信,5.13,-0.03,-0.58,27.03,54836100,280442960.0,0.28,15.569,4.269,469431621526.0
SH601688,华泰证券,14.12,-0.02,-0.14,13.68,19759600,278023188.0,0.27,9.997,3.185,128134246290.0
SH603386,骏亚科技,13.94,0.22,1.6,38.6,19994892,277561981.0,6.13,35.331,1.436,4548936486.0
SH601066,中信建投,24.65,-0.8,-3.14,4.87,11167183,276328465.0,0.29,28.284,1.095,191202526746.0
SH600282,南钢股份,3.72,-0.14,-3.63,26.86,74278207,275678873.0,1.2,13.143,6.72,22934138561.0
SH601006,大秦铁路,7.33,0.0,0.0,17.3,37617097,274517284.0,0.24,9.8,6.467,112672316899.0
SH603696,安记食品,10.34,-0.97,-8.58,-3.91,26378128,272722338.0,11.22,92.599,0.485,2431968000.0
SH600386,北巴传媒,5.2,0.47,9.94,33.67,53167014,272590043.0,6.59,66.939,1.538,4193280000.0
SH600699,均胜电子,18.7,0.24,1.3,33.96,14490085,271754659.0,1.06,25.256,0.519,26342718854.0
SH600372,中航机载,12.68,-0.32,-2.46,-19.94,21310113,270505221.0,0.48,45.164,0.93,61357209268.0
SH603230,内蒙新华,14.52,-0.51,-3.39,33.19,18452570,267647025.0,20.64,17.029,1.032,5133153960.0
SH603667,五洲新春,21.41,0.11,0.52,62.69,12371575,266299192.0,3.8,61.305,0.748,7893505770.0
SH600690,海尔智家,20.55,-0.25,-1.2,-13.86,12918212,265246799.0,0.2,11.977,2.762,193953261051.0
SH603803,瑞斯康达,9.73,-0.45,-4.42,62.66,26914630,264492320.0,6.33,-111.375,0.577,4235620370.0
SH600975,新五丰,12.25,-0.11,-0.89,72.29,21491380,264050441.0,3.29,-22.509,,15450827404.0
SH600369,西南证券,4.12,-0.1,-2.37,10.57,64309526,263829234.0,1.02,41.932,0.726,27377849591.0
SH600100,同方股份,8.17,0.0,0.0,89.56,32035336,262944834.0,1.08,-48.058,,27371932315.0
SH601390,中国中铁,5.48,-0.05,-0.9,1.2,48037535,262347046.0,0.24,4.209,3.643,135642033987.0
SH603658,安图生物,56.22,-0.91,-1.59,-7.74,4610010,262187476.0,0.79,28.134,1.425,32960226232.0
SH603903,中持股份,11.88,-0.09,-0.75,34.21,22053774,260886902.0,10.9,22.63,1.599,3033195422.0
SH601225,陕西煤业,19.49,0.25,1.3,18.46,13408732,258929104.0,0.14,8.543,11.185,188955550000.0
SH601921,浙版传媒,8.65,0.1,1.17,20.9,29969020,258205044.0,7.1,12.958,4.051,19222222229.0
SH601108,财通证券,8.01,0.06,0.75,14.74,32262898,257194449.0,0.69,19.181,1.873,37196347484.0
SH601939,建设银行,6.33,-0.02,-0.31,19.73,40559518,254366951.0,0.42,4.773,6.136,1582569487486.0
SH600176,中国巨石,9.78,-0.3,-2.98,-25.97,25415987,249464781.0,0.63,10.394,5.333,39150677200.0
SH603825,华扬联众,13.64,-0.8,-5.54,-3.81,17980271,249358985.0,7.1,-4.408,2.051,3455510569.0
SH601658,邮储银行,4.31,-0.06,-1.37,-1.6,56943200,244925492.0,0.08,4.911,5.986,427384237724.0
SH600980,北矿科技,17.31,0.6,3.59,24.67,14160135,242707896.0,9.08,36.221,0.289,3276151635.0
SH600872,中炬高新,28.5,-1.09,-3.68,-22.7,8426147,242527840.0,1.07,-10.177,1.067,22383214575.0
SH603118,共进股份,9.73,-0.22,-2.21,23.98,24575262,242139857.0,3.12,138.032,1.336,7700927654.0
SH600728,佳都科技,6.02,-0.04,-0.66,14.02,39873780,241694069.0,1.87,119.157,0.249,12909844639.0
SH603629,利通电子,28.5,0.43,1.53,131.31,8413900,241671879.0,3.3,170.712,0.592,7376655000.0
SH600083,博信股份,8.47,0.77,10.0,16.67,29026406,239915149.0,12.73,-381.736,,1948100000.0
SH600845,宝信软件,47.47,0.54,1.15,29.05,5052429,238652709.0,0.29,45.115,1.405,114050972791.0
SH603938,三孚股份,19.1,-1.23,-6.05,-21.82,12309926,237933189.0,3.22,24.354,1.027,7308127893.0
SH600633,浙数文化,13.23,0.07,0.53,62.49,18128360,237330331.0,1.43,20.431,0.605,16745614819.0
SH600732,爱旭股份,15.46,-0.25,-1.59,-41.98,15350783,236941904.0,0.96,9.984,2.544,28264023003.0
SH603296,华勤技术,78.95,2.2,2.87,-2.29,2947403,235086121.0,4.96,19.864,,57179727770.0
SH603266,天龙股份,28.59,0.84,3.03,132.68,8229890,233588288.0,4.14,50.065,0.456,5686172183.0
SH600406,国电南瑞,20.87,-0.39,-1.83,4.09,11296997,233133578.0,0.14,24.059,1.562,167649398272.0
SH600795,国电电力,4.1,0.01,0.24,-0.03,57287305,232888504.0,0.32,21.456,3.667,73126038236.0
SH601801,皖新传媒,7.86,0.29,3.83,54.05,29655856,231865312.0,1.49,18.202,2.345,15635149233.0
SH603369,今世缘,49.45,-1.57,-3.08,-1.56,4665230,231685625.0,0.37,20.235,1.479,62035025000.0
SH601666,平煤股份,11.66,0.34,3.0,18.85,19913371,229656553.0,0.87,6.53,7.47,26979797250.0
SH600348,华阳股份,8.78,0.16,1.86,-0.87,26234249,227787083.0,0.73,4.992,6.663,31673850000.0
SH601186,中国铁建,7.46,-0.1,-1.32,-0.92,30652226,227704803.0,0.27,3.712,3.758,101303379590.0
